XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
X                                                X
